miRNA	transcript	r	p.value	number_of_cell_line	m_min	m_median	m_max	m_mean	t_min	t_median	t_max	t_mean
hsa-mir-1193	MEG8	NA	NA	NA	0	0	1.509475	0.0179796666666667	0	0	0.032764	0.00018726116838488
hsa-mir-1197	MEG8	NA	NA	NA	0	0	2.340336	0.147637694158076	0	0	0.032764	0.00018726116838488
hsa-mir-1199	MISP3	0.182	0.471	18	0	0	1.71187	0.0206298453608247	0.345694	15.137829	79.961947	18.1489624467354
hsa-mir-1200	ELMO1	NA	NA	NA	0	0	0	0	0.232902	3.590914	59.349163	5.16139337113402
hsa-mir-1203	SKAP1	NA	NA	NA	0	0	0.121099	0.000416147766323024	0.048734	7.654448	82.811303	10.8127256426117
hsa-mir-1204	PVT1	-0.356	0.768	3	0	0	0.422824	0.00363932302405498	0.652874	7.873965	50.428611	9.15979804810997
hsa-mir-1205	PVT1	NA	NA	NA	0	0	0.297956	0.00102390378006873	0.544932	6.215276	33.791697	6.86166386941581
hsa-mir-1206	PVT1	NA	NA	NA	0	0	0	0	0.650579	7.767246	42.754772	8.62421368728522
hsa-mir-1207	PVT1	NA	NA	NA	0	0	0.239262	0.00149985223367698	0.632404	8.123209	53.595802	9.3847546185567
hsa-mir-1208	PVT1	NA	NA	NA	0	0	0.208875	0.000717783505154639	0	0	0.264609	0.0173714089347079
hsa-mir-122	MIR122HG	-0.903	0.00213	8	0	0	128.1852	1.19020035738832	0	0	0.580063	0.00326098281786942
hsa-mir-1224	VWA5B2	0.595	1.17e-17	170	0	0.270797	253.3428	3.4455109347079	0	0.072057	42.564321	0.430549515463918
hsa-mir-1225	PKD1	-0.442	0.00542	38	0	0	2.081371	0.0546966597938144	0.185512	10.084127	44.531751	10.8403518659794
hsa-mir-1226	DHX30	0.0823	0.199	245	0	0.848839	29.25408	1.64612109965636	1.567881	26.098646	52.063167	25.8877890274914
hsa-mir-1227	PLEKHJ1	0.0764	0.457	97	0	0	8.069239	0.196176048109966	4.138255	108.946672	212.918637	105.596149206186
hsa-mir-1228	LRP1	-0.00309	0.961	251	0	0.647076	13.20847	1.13339650859107	0.426752	18.014362	141.290615	24.5011419003436
hsa-mir-1229	MGAT4B	0.107	0.127	203	0	0.365655	14.56231	0.717561941580756	8.672071	173.068897	426.230989	176.948806364261
hsa-mir-1231	NAV1	-0.357	0.16	17	0	0	1.240312	0.0219556529209622	0.187509	2.886935	21.703561	3.58682104467354
hsa-mir-1233-1	GOLGA8A	NA	NA	NA	0	0	0.19849	0.00113770790378007	0.074122	4.533918	55.143116	7.8369290652921
hsa-mir-1233-2	GOLGA8B	NA	NA	NA	0	0	0	0	0.025448	3.790262	25.901038	5.32692570446735
hsa-mir-1234	CPSF1	-0.217	0.0852	64	0	0	3.119323	0.0843194536082474	1.568927	29.040406	95.847065	31.7811407869416
hsa-mir-1236	NELFE	0.297	0.192	21	0	0	1.170168	0.0273794639175258	4.480833	71.977465	138.504868	72.8101538006873
hsa-mir-1237	RPS6KA4	0.054	0.635	80	0	0	2.340336	0.0961713367697594	0.750441	24.938896	66.130466	25.4246263745704
hsa-mir-1238	ATG4D	0.149	0.531	20	0	0	1.125157	0.0218548591065292	1.207593	19.921677	53.003305	20.8937634604811
hsa-mir-124-1	MIR124-1HG	0.661	0.224	5	0	0	5.390272	0.0445313264604811	0	0	0.648661	0.00476837113402062
hsa-mir-124-2	MIR124-2HG	NA	NA	NA	0	0	5.558718	0.0389396666666667	0	0	0.869087	0.0037970412371134
hsa-mir-1243	ANK2	-0.299	0.0967	32	0	0	1.481747	0.0269187663230241	0	0.113046	2.310328	0.233708333333333
hsa-mir-1244-1	PTMA	0.146	0.73	8	0	0	0.59944	0.00964535738831615	205.379824	2059.482131	4225.895007	2077.92789527835
hsa-mir-1244-4	BCL2L14	NA	NA	NA	0	0	0	0	0	0	0.124961	0.0024799381443299
hsa-mir-1245a	COL3A1	0.44	1.75e-13	255	0	1.345743	15.88177	1.62761126804124	8.751625	279.187395	8228.109681	492.677262357388
hsa-mir-1247	DIO3OS	0.762	2.57e-55	285	1.739598	152.4977	4341.315	318.315442553265	0	5.59079	48.667569	8.38345343986254
hsa-mir-1248	EIF4A2	-0.168	0.00544	272	0	2.298005	40.3353	3.69237265292096	22.651808	212.1236	575.467952	218.350814037801
hsa-mir-1248	SNORA81	0.479	0.136	11	0	2.298005	40.3353	3.69237265292096	0	0	3552.08198	22.2822774982818
hsa-mir-1249	KIAA0930	-0.00369	0.952	266	0	1.315923	26.17402	2.08623531271478	3.427945	29.661272	76.589057	30.4592810171821
hsa-mir-1250	AATK	0.043	0.777	46	0	0	1.152748	0.0705699003436426	0	0.659452	13.496363	1.39222764948454
hsa-mir-1251	RMST	-0.592	0.161	7	0	0	1.466951	0.0375732199312715	0	0	0.390566	0.00656715463917526
hsa-mir-1252	SYT1	-0.00045	0.998	21	0	0	0.570065	0.0224295120274914	0.007186	1.081509	10.333736	1.53312387972509
hsa-mir-1254-1	CCAR1	-0.0544	0.433	210	0	0.324546	4.500627	0.524768680412371	5.344169	24.245878	49.641625	24.4743184329897
hsa-mir-1255a	PPP3CA	-0.104	0.148	196	0	0.324546	2.963609	0.469671615120275	1.890607	13.451054	45.15394	14.5848735154639
hsa-mir-1255b-2	DCAF6	NA	NA	NA	0	0	0	0	3.385889	19.094116	42.907598	19.3812739106529
hsa-mir-1256	EIF4G3	-0.122	0.3	74	0	0	1.409129	0.0925175841924399	3.33415	16.17439	40.362179	16.6062819965636
hsa-mir-1257	TAF4	0.427	0.0877	17	0	0	3.842656	0.0641121924398625	0	0	0.775047	0.0415215154639175
hsa-mir-1258	ZNF385B	0.268	0.00723	99	0	0.145647	4.758913	0.330409419243986	0	0.021493	1.27667	0.0782235360824742
hsa-mir-125a	SPACA6	0.0982	0.405	74	70.71657	267.1542	6646.218	442.831172164948	0	0	0.692991	0.0415565979381443
hsa-mir-125b-1	MIR100HG	0.657	2.48e-36	283	7.758996	120.1405	1905.407	181.862463285223	0.014651	1.384719	38.036014	2.35520381786942
hsa-mir-125b-2	MIR99AHG	0.56	2.58e-23	266	7.037229	125.7549	2149.303	186.766070223368	0	0.410384	53.711625	0.981310463917526
hsa-mir-126	EGFL7	0.0481	0.427	275	81.77797	1436.074	7356.6	1657.62425419244	0.123485	9.995316	170.253407	14.3919545292096
hsa-mir-1262	WLS	0.104	0.0982	252	0	0.846905	7.334755	1.01952195189003	2.586844	31.055364	90.721857	32.4598881786942
hsa-mir-1264	HTR2C	NA	NA	NA	0	0	0	0	0	0	1.514876	0.0359622920962199
hsa-mir-1266	MYO5C	0.486	2.43e-18	286	0	14.14306	118.3245	21.1715382061856	0.204033	9.19591	28.326912	10.224751371134
hsa-mir-1267	FAM155A	0.236	0.652	6	0	0	0.934537	0.00712098625429553	0	0.093057	4.749941	0.198609302405498
hsa-mir-1268b	CCDC40	NA	NA	NA	0	0	0	0	0	0.192718	2.265759	0.290080597938144
hsa-mir-127	AL117190.1	0.185	0.311	32	139.1315	777.6868	16285.37	990.08614604811	0	0	0.202165	0.00532416494845361
hsa-mir-1271	ARL10	0.0781	0.197	274	0	1.301661	22.96708	1.97506359450172	0.031146	0.403514	4.120786	0.575024621993127
hsa-mir-1272	RBPMS2	NA	NA	NA	0	0	0	0	0	0.080793	8.689909	0.32438087628866
hsa-mir-1273a	RGS22	NA	NA	NA	0	0	0	0	0	0.023436	5.799139	0.0694291443298969
hsa-mir-1273c	TIAM2	-0.304	0.618	5	0	0	0.595912	0.00753479037800687	0.553555	2.434384	7.433916	2.52989006185567
hsa-mir-1273d	KIF1B	NA	NA	NA	0	0	0	0	0.359424	6.824603	19.279693	7.27707723367698
hsa-mir-1273f	SCP2	NA	NA	NA	0	0	0	0	0.972491	24.294053	107.12103	25.488712024055
hsa-mir-1273g	SCP2	NA	NA	NA	0	0	0	0	0.972491	24.294053	107.12103	25.488712024055
hsa-mir-1273h	PRKCB	-0.383	0.0535	26	0	0	0.819564	0.0273555360824742	0.026815	0.707765	12.99372	1.26349624398625
hsa-mir-1276	KLHL25	0.164	0.0481	145	0	0.109285	2.250314	0.213419701030928	0.079048	4.633959	14.288401	4.96817055670103
hsa-mir-1277	WDR44	-0.125	0.0488	248	0	0.935736	7.029681	1.17013090034364	0.870553	4.862876	26.087838	5.26795298281787
hsa-mir-1278	CDC73	0.0546	0.719	46	0	0	0.631347	0.0441488659793814	2.550415	12.919114	41.144574	14.0932767010309
hsa-mir-128-1	R3HDM1	0.292	8.64e-07	275	14.2418	82.28408	581.5857	89.708474742268	1.27814	11.14361	33.895667	11.7006748075601
hsa-mir-128-2	ARPP21	-0.519	0.000424	42	8.388177	54.99849	448.2285	62.2246230824742	0	0	0.436797	0.00751629896907216
hsa-mir-1282	AC018512.1	NA	NA	NA	0	0	0.595999	0.00502922336769759	0	0.120452	0.986474	0.140226171821306
hsa-mir-1284	AC097634.4	-0.0635	0.63	60	0	0.180442	2.260642	0.272323508591065	0	0	1.17023	0.0566633951890034
hsa-mir-1284	FOXP1	0.0427	0.581	169	0	0.180442	2.260642	0.272323508591065	0.004259	4.578683	34.21297	5.15937206185567
hsa-mir-1285-1	AC000120.1	0.0883	0.754	15	0	0	0.593117	0.0218697113402062	0	0.110288	6.974056	0.228294006872852
hsa-mir-1285-1	AC000120.3	-0.0399	0.888	15	0	0	0.593117	0.0218697113402062	0	0.19055	4.05661	0.419881075601375
hsa-mir-1285-1	KRIT1	0.226	0.4	16	0	0	0.593117	0.0218697113402062	2.243071	11.201753	44.801879	11.8391293986254
hsa-mir-1286	RTN4R	0.459	0.0107	30	0	0	1.017185	0.0365042611683849	0	4.040276	24.205521	4.74869504123711
hsa-mir-1287	PYROXD2	0.518	5.35e-21	285	3.479196	14.79354	115.9234	18.0857992508591	0.146908	1.682824	14.899683	2.45529216494845
hsa-mir-1288	PIGL	0.093	0.157	233	0	0.45234	4.620032	0.550526924398625	0.351786	3.899504	15.056827	4.25465420962199
hsa-mir-1289-1	GDF5	0.979	0.129	3	0	0	0.825186	0.0230330034364261	0	0	0.069244	0.00118372852233677
hsa-mir-1289-2	FSTL4	NA	NA	NA	0	0	0.162535	0.000558539518900344	0	0.049846	10.865481	0.304243604810997
hsa-mir-129-2	AC068205.1	-0.234	0.489	11	0	1.288033	228.9299	5.00719434364261	0	0	0.192304	0.0040189175257732
hsa-mir-129-2	AC068205.2	-0.0641	0.82	15	0	1.288033	228.9299	5.00719434364261	0	0	0.104409	0.003518735395189
hsa-mir-1290	ALDH4A1	0.478	0.337	6	0	0	0.849804	0.00611832989690722	0.453031	12.629376	120.151168	16.7117912886598
hsa-mir-1291	KANSL2	-0.0607	0.355	234	0	0.647429	8.682181	1.08714411340206	2.857113	16.555196	43.746569	17.4152893058419
hsa-mir-1291	SNORA2C	0.0596	0.694	46	0	0.647429	8.682181	1.08714411340206	0	0	682.504257	7.93762594501718
hsa-mir-1292	NOP56	0.252	1e-04	234	0	0.586176	5.867804	0.756892776632302	5.910086	66.064792	166.918468	67.7456550996564
hsa-mir-1293	LIMA1	0.0211	0.787	166	0	0.2061	7.046528	0.49940235395189	0	25.304741	124.381643	33.8279703505155
hsa-mir-1294	AC008625.1	-0.053	0.797	26	0	0.222472	2.933902	0.332642408934708	0	0	2.786353	0.0323191408934708
hsa-mir-1294	GALNT10	0.0353	0.632	186	0	0.222472	2.933902	0.332642408934708	2.535187	15.139528	55.278069	16.7590442989691
hsa-mir-1295a	BX284613.2	0.214	0.00582	164	0	0.203263	32.27696	0.437170556701031	0	0.051007	2.639227	0.0860799484536083
hsa-mir-1295b	FMO3	0.351	0.0331	37	0	0	1.093173	0.0467734467353952	0	0.47269	4.857619	0.684684865979381
hsa-mir-1296	JMJD1C	-0.0363	0.552	271	0.320603	4.42969	156.9638	7.51933127147766	0	0.756362	9.192172	0.988256243986254
hsa-mir-1298	HTR2C	0.029	0.956	6	0	0	2.469461	0.0318733573883161	0	0	1.514876	0.0359622920962199
hsa-mir-1301	DNMT3A	0.179	0.00305	271	0.892608	5.812762	31.04016	7.15837091408935	0.418412	2.177481	8.269306	2.3629394742268
hsa-mir-1302-10	AC140725.1	NA	NA	NA	0	0	0	0	0	0	1.280383	0.0304902542955326
hsa-mir-1302-11	AC008993.3	NA	NA	NA	0	0	0	0	0	0	0.053764	0.000184756013745704
hsa-mir-1302-2	MIR1302-2HG	NA	NA	NA	0	0	0	0	0	0	0.103404	0.00152026116838488
hsa-mir-1302-3	AL078621.2	NA	NA	NA	0	0	0.211016	0.000932518900343643	0	0	1.025886	0.0663744261168385
hsa-mir-1302-4	AC009226.1	NA	NA	NA	0	0	0	0	0	0.054234	0.630138	0.0806003951890034
hsa-mir-1302-5	RIPOR3	NA	NA	NA	0	0	0	0	0.004765	0.428678	4.622029	0.562475154639175
hsa-mir-1302-9	MIR1302-9HG	NA	NA	NA	0	0	0	0	0	0.266366	5.657864	0.333991140893471
hsa-mir-1304	TAF1D	0.257	3.51e-05	253	0	2.310016	157.3381	7.73267597250859	10.266258	54.649339	163.900225	56.0933184776632
hsa-mir-1305	AC108142.1	NA	NA	NA	0	0	1.8102	0.0913456907216495	0	0	0	0
hsa-mir-1305	TENM3	0.306	0.0291	51	0	0	1.8102	0.0913456907216495	0	0	3.613282	0.0838739312714777
hsa-mir-1306	DGCR8	0.0272	0.657	268	1.025892	6.201565	268.452	11.0931359072165	1.028548	7.229727	18.222288	7.34072167697594
hsa-mir-1307	ATP5MD	0.332	2.21e-08	270	146.8233	1420.086	16156.02	1977.76385532646	32.442163	361.755088	847.765434	367.628641237113
hsa-mir-130a	AP000662.1	-0.00905	0.925	112	3.969719	26.18638	329.8743	34.6843574261168	0	0	0.804798	0.0217929003436426
hsa-mir-130b	AP000553.1	0.153	0.0165	246	5.770848	33.3708	342.2836	40.881620532646	0	0.103114	1.097265	0.141621872852234
hsa-mir-1322	AC105001.2	-0.484	0.409	5	0	0	0.395834	0.0128601718213058	0	0	0.451591	0.0374929896907217
hsa-mir-1322	PINX1	0.0417	0.887	14	0	0	0.395834	0.0128601718213058	1.836323	10.118681	36.869942	11.6418638075601
hsa-mir-133a-1	MIR133A1HG	0.417	2.75e-08	164	0	7.150949	467.9574	19.1093682405498	0	0.005592	0.869639	0.0180022989690722
hsa-mir-133a-2	MIR1-1HG	0.198	0.215	41	0	6.369487	519.3007	17.389994395189	0	0	0.277743	0.0104647766323024
hsa-mir-1343	PDHX	0.153	0.0229	221	0	0.485967	19.07036	0.930581879725086	3.148153	16.664661	45.988132	16.9204939347079
hsa-mir-135a-1	GLYCTK-AS1	0.135	0.328	55	0	0	3.287846	0.243323656357388	0	0	5.331772	0.395071302405498
hsa-mir-135a-2	RMST	0.266	0.287	18	0	0	2.749725	0.164208439862543	0	0	0.617074	0.00762146735395189
hsa-mir-135b	BLACAT1	0.642	2.59e-32	266	0	46.60178	563.5683	69.1755437113402	0	1.217527	15.901076	1.67813315120275
hsa-mir-135b	LEMD1	0.414	2.68e-10	215	0	46.60178	563.5683	69.1755437113402	0	0.368308	21.516288	1.29651914089347
hsa-mir-136	AL117190.1	0.319	0.058	36	0	17.45916	1411.225	27.712774628866	0	0	0.202165	0.00532416494845361
hsa-mir-137	MIR137HG	0.163	0.32	39	0	0	5.024511	0.313484670103093	0	0	0.572752	0.00638882130584192
hsa-mir-139	PDE2A	0.57	4.59e-25	275	3.778202	22.93576	2138.348	62.867609371134	0.056496	0.701888	15.234379	1.21338037800687
hsa-mir-140	WWP2	0.172	0.00565	259	301.7633	773.1356	4005.558	906.592969415808	3.399887	21.677196	45.207757	22.0251243986254
hsa-mir-141	MIR200CHG	0.203	0.000846	267	2.033674	1456.577	11566.47	1676.17894472165	0	11.655353	81.493015	13.9912035979381
hsa-mir-142	AC004687.1	0.451	6.89e-15	269	12.68023	1269.982	72464.1	2000.66318776632	0	0.524995	39.109462	1.24641470446735
hsa-mir-143	CARMN	0.448	2.52e-15	282	8489.308	136568	711936.2	169620.624123711	0.108934	1.792823	45.770643	3.28258368041237
hsa-mir-144	AC024267.1	-0.239	0.285	22	0	49.1928	1299.807	74.585998072165	0	0	0.160416	0.00451614776632302
hsa-mir-145	CARMN	0.55	3.76e-23	275	203.5383	2024.171	91929.38	3709.5865233677	0.108934	1.792823	45.770643	3.28258368041237
hsa-mir-1468	ARHGEF9	NA	NA	NA	0	4.425292	45.95458	6.53665238487972	0	0	0	0
hsa-mir-1469	NR2F2	NA	NA	NA	0	0	0	0	1.089177	17.889901	74.684118	19.9354341030928
hsa-mir-146a	MIR3142HG	0.711	7.59e-45	283	11.47573	166.7778	2899.779	238.080230103093	0.033259	0.933158	25.747657	1.75568286254296
hsa-mir-147b	C15orf48	0.471	4.75e-16	265	0	2.693624	50.45079	4.30652327147766	0.221184	185.32672	1548.26651	258.103272378007
hsa-mir-148b	AC078778.1	0.00866	0.906	188	31.0785	111.6469	521.7432	126.796897560137	0	0.074378	1.141185	0.110726542955326
hsa-mir-148b	COPZ1	0.175	0.00408	269	31.0785	111.6469	521.7432	126.796897560137	31.353775	144.164769	364.081649	148.900499353952
hsa-mir-149	GPC1	0.249	3.42e-05	271	0.873016	8.0291	650.1501	19.4738490962199	0.138634	9.958542	68.538109	12.8990161065292
hsa-mir-151a	PTK2	0.483	1.75e-17	275	614.3563	2613.471	15916.01	2921.5083604811	4.795546	34.679963	103.329128	36.2264735360825
hsa-mir-152	COPZ2	0.598	2.16e-28	279	10.22225	182.9649	674.5988	197.967899175258	0	4.449627	95.480778	6.93767101718213
hsa-mir-153-1	PTPRN	-0.0413	0.522	242	0	1.136004	20.37578	1.77672711340206	0	0.264027	18.798374	0.670300024054983
hsa-mir-153-2	PTPRN2	0.522	1.84e-20	273	0	19.49737	361.2917	32.6293322199313	0.129998	7.753769	137.641967	11.2698419656357
hsa-mir-1537	LYST	0.0445	0.606	137	0	0	3.025098	0.206636505154639	0.426067	1.882498	13.632463	2.23266328865979
hsa-mir-1539	AC100778.3	-0.859	0.0132	7	0	0	2.079549	0.0314032920962199	0	0	0.397161	0.0211940481099656
hsa-mir-155	MIR155HG	0.708	1.97e-43	277	36.4935	277.2095	13832.59	455.885978006873	0.015009	0.647003	56.922888	1.19128620962199
hsa-mir-15a	DLEU2	0.292	8.16e-07	276	4.610994	121.0372	687.5307	141.703745580756	0.495405	3.100904	37.742846	3.89493917182131
hsa-mir-15b	SMC4	-0.0399	0.506	280	53.00654	212.3284	2681.172	268.467279828179	1.345234	12.09575	68.531041	14.0002143505155
hsa-mir-16-1	DLEU2	0.135	0.0246	276	10.22225	206.7068	1023.355	247.80357975945	0.46444	2.802358	34.906506	3.56275488659794
hsa-mir-16-2	SMC4	-0.185	0.00196	278	7.547375	212.5182	1023.73	251.024573350515	1.345234	12.09575	68.531041	14.0002143505155
hsa-mir-17	MIR17HG	0.505	3.55e-19	274	82.99788	1259.693	8099.868	1466.57072707904	0	0.434111	22.88911	0.699441048109966
hsa-mir-181a-1	MIR181A1HG	0.157	0.193	70	59.78453	454.0318	6819.575	690.532493917526	0	0	0.151204	0.0121508659793814
hsa-mir-181a-2	MIR181A2HG	0.478	3.01e-16	260	208.0575	940.4885	8018.993	1214.38910927835	0	0.304591	3.476073	0.482643556701031
hsa-mir-181b-1	MIR181A1HG	0.0675	0.573	72	24.7421	100.3381	886.6819	128.719304776632	0	0	0.151204	0.0121508659793814
hsa-mir-181b-2	MIR181A2HG	0.31	2.48e-07	266	22.02651	94.55877	897.7219	120.045391099656	0	0.304591	3.476073	0.482643556701031
hsa-mir-181c	NANOS3	0.263	2.93e-05	247	15.44873	73.43125	388.4548	84.8336158419244	0	0.987163	14.910245	2.19237708247423
hsa-mir-181d	NANOS3	0.354	8.27e-09	250	2.203628	18.94146	149.8139	23.9491079003436	0	0.987163	14.910245	2.19237708247423
hsa-mir-1825	POFUT1	0.201	0.336	25	0	0	1.610041	0.0399320618556701	3.574338	31.819948	139.393695	41.0516270378007
hsa-mir-185	TANGO2	0.244	4.45e-05	274	10.23833	57.75055	261.5284	63.7835406185567	2.35662	11.004192	34.632735	11.1624129656357
hsa-mir-186	ZRANB2	0.254	1.59e-05	282	52.07911	228.2679	893.4935	250.731867319588	5.776568	23.861797	65.582569	24.593936371134
hsa-mir-188	CLCN5	0.438	1.67e-14	279	0	4.605732	53.37351	6.97324325429553	0.23224	2.715867	12.458683	3.17391837113402
hsa-mir-18a	MIR17HG	0.395	1.03e-11	275	0.807874	21.69361	230.5105	32.0160560687285	0	0.434111	22.88911	0.699441048109966
hsa-mir-18b	AC002407.1	0.155	0.54	18	0	0.432207	4.982216	0.687694670103093	0	0	0.100323	0.00109115120274914
hsa-mir-1908	FADS1	-0.238	0.119	44	0	0	1.466951	0.0495862542955326	0.290111	5.152796	36.301816	7.41586717525773
hsa-mir-1909	REXO1	0.00952	0.937	72	0	0	2.576066	0.123862419243986	0.654127	18.043329	46.622071	17.8772178591065
hsa-mir-190a	TLN2	0.385	4.2e-11	274	0	4.744151	25.36433	5.54009134020619	0.170217	5.93775	31.782185	6.51684537457045
hsa-mir-190b	TPM3	NA	NA	NA	0	0	1.55253	0.147171824742268	0	0	0.168634	0.000579498281786942
hsa-mir-191	DALRD3	0.12	0.0507	266	103.6151	601.8284	8955.553	771.62166975945	0	1.772201	6.064606	1.91382604123711
hsa-mir-1910	C16orf74	0.213	0.0944	63	0	0	22.22621	0.15472889347079	0	1.349006	130.823484	3.02834162199313
hsa-mir-1911	HTR2C	0.514	0.0102	24	0	0	23.17356	0.280791556701031	0	0	1.514876	0.0359622920962199
hsa-mir-1912	HTR2C	NA	NA	NA	0	0	0.871575	0.00349901718213058	0	0	1.514876	0.0359622920962199
hsa-mir-1913	RPS6KA2	0.173	0.479	19	0	0	0.935736	0.0218030756013746	0.356826	5.156178	32.741591	5.86344789003436
hsa-mir-1914	UCKL1	-0.0557	0.647	70	0	0	2.305497	0.0927014158075601	1.334875	33.999867	140.878356	36.9536216323024
hsa-mir-1915	MIR1915HG	-0.0313	0.941	8	0	0	0.376774	0.00648108934707904	0.005091	0.137328	1.938577	0.190592257731959
hsa-mir-192	MIR194-2HG	0.406	2.3e-12	275	451.7662	45908.98	205828.2	50356.3969718213	0.009675	3.458663	25.21422	4.34782686597938
hsa-mir-193b	MIR193BHG	0.335	1.42e-08	273	1.330159	31.67026	615.2273	50.3088172474227	0.008713	0.196166	1.987297	0.270855567010309
hsa-mir-194-2	MIR194-2HG	0.447	1.13e-14	270	136.3207	9847.776	24531.28	9919.62722783505	0.009675	3.458663	25.21422	4.34782686597938
hsa-mir-195	AC040977.2	0.156	0.549	17	2.996108	26.15625	179.1708	30.6102755223368	0	0	1.932519	0.0388353161512027
hsa-mir-195	MIR497HG	0.392	2.17e-11	271	2.996108	26.15625	179.1708	30.6102755223368	0.0598	0.774685	11.98059	1.08126564604811
hsa-mir-196a-1	HOXB7	0.0756	0.236	247	0.685714	104.6107	571.6844	131.190829395189	0	14.449281	96.252082	17.0642299965636
hsa-mir-196a-2	AC012531.3	0.17	0.427	24	0.301007	103.8824	576.4575	132.49200757732	0	0	0.349033	0.00816462886597938
